UNICODE12,Molweight [g/mol],Ringbonds,Alkylatoms,Alkylgroups,Rotatable bonds,Internal H-bonds,Conjugated bonds,Fragments,Alkane,mu_self,hint_self,hb_self,Area,?-moment2,?-moment3,?-moment4,?-moment5,?-moment6,HB-acc_m1,HB-acc_m2,HB-acc_m3,HB-acc_m4,HB-don_m1,HB-don_m2,HB-don_m3,HB-don_m4,Volume,MWeight,E_dielec,#rotbdsmod,Tmult,rbwring,nbr11,mu_self100,hint_self100,hb_self100,n_total,Amine,nbr2u1,nbr2s1,nbr3u1,nbr3s1, nbr2u2u,nbr2s2u,nbr2s2s,nbr3u2u,nbr3s2u,nbr3u2s,nbr3s2s,nbr3u3u,nbr3s3u,nbr3s3s,Kier1,Kier2,n_arom,N,Sumq(e),S_sym,S_crs,H_crs,Hfus_exp[kcal/mol]
PC8EP7OBVINN,198.27,0,0,0,0,0,0,0,-1,-8.698,-10.271,0,137.61,9.11,-2.56,2,-1.09,0.75,0,0,0,0,0,0,0,0,128.95,198.27,-1.05,0,0.88,0,0,-10.309,-11.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001749017,0.000506,0.0777,0.6
WMDTDTEH2KNN,242.73,0,0,0,0,0,0,0,-1,-9.431,-11.519,0,142.19,11.43,-3.58,3.04,-1.82,1.35,0,0,0,0,0,0,0,0,134.86,242.73,-1.34,0,0.61,0,0,-11.489,-12.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001212387,0.00075,0.11822,0.55
WYEN24RAIRNN,331.63,0,0,0,0,0,0,0,-1,-11.655,-15.128,0,150.6,15.89,-6.07,5.37,-3.65,2.86,0,0,0,0,0,0,0,0,146.56,331.63,-1.91,0,1.28,0,0,-14.726,-16.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.002544025,0.001127563,0.18625,0.96
CTV4FKFJUHNN,98.92,0,0,0,0,0,1,0,-1,-5.491,-6.024,0,102.48,16.13,2.01,7.36,1.63,4.13,0,0,0,0,0,0,0,0,85.5,98.92,-2.43,0,0.46,0,0,-6.3,-6.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.000914,0.002428937,0.39365,1.36
IPGD7Z5UL6NN,137.37,0,0,0,0,0,0,0,-1,-7.239,-7.905,0,123.4,5.91,-1.55,0.96,-0.45,0.25,0,0,0,0,0,0,0,0,110.34,137.37,-0.67,0,0.88,0,0,-8.045,-8.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001749017,0.000195,0.02762,1.65
EXLC0GBIRGNN,153.82,0,0,0,0,0,0,0,-1,-8.262,-9.476,0,132.4,6.76,-1.68,1.05,-0.48,0.26,0,0,0,0,0,0,0,0,122.36,153.82,-0.76,0,1.28,0,0,-9.502,-10.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.002544025,0.000259,0.03856,0.65
TZ6HLHR7KWNN,217.89,0,0,0,0,0,2,0,-1,-8.541,-10.376,0,163.26,19.55,0.69,7.76,-0.27,4.25,0,0,0,0,0,0,0,0,164.57,217.89,-2.73,0,0.78,0,0,-10.431,-11.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.75,0,0,0,0.001550265,0.00261214,0.41281,1.79
CNEURTHFL6NN,66.01,0,0,0,0,0,1,0,-1,-2.789,-2.396,0,77.69,22.23,-3.2,17.68,-6.75,17.51,0,0.06,0,0,0,0,0,0,58.19,66.01,-3.07,0,0.46,0,0,-2.919,-3.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.000914,0.00352276,0.59624,1.6
BY5UHKLO9NNN,88,0,0,0,0,0,0,0,-1,-3.89,-2.912,0,87.96,4.65,-2.29,1.87,-1.47,1.22,0,0,0,0,0,0,0,0,68.74,88,-0.53,0,1.28,0,0,-3.377,-3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.002544025,0.0000925,0.01571,0.17
DDPQ7PZARGNN,252.73,0,0,0,0,0,0,0,-1,-8.983,-11.586,0,130.91,25.35,-14.64,19.38,-20.73,24.89,0,0,0,0,-0.01,1.5,0.42,0.02,120.54,252.73,-3.24,0,0.97,0,0,-11.414,-12.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.001927894,0.002021961,0.33995,2.66
KP4R07QGTHNN,86.47,0,0,0,0,0,0,0,-1,-3.47,-3.204,0,94.5,21.68,-16.05,20.43,-22.82,27.03,0,0,0,0,-0.01,1.48,0.4,0.01,75.71,86.47,-3.27,0,0.46,0,0,-3.589,-3.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.000914,0.001126487,0.19845,0.98
OWF76YK35MNN,119.38,0,0,0,0,0,0,0,-1,-6.184,-7.059,0,115.99,19.7,-13.59,17.26,-19.26,22.76,0,0,0,0,-0.01,1.39,0.34,0,101.98,119.38,-2.69,0,0.97,0,0,-7.204,-7.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.001927894,0.001078098,0.18854,2.11
VXACQ4TQL9NN,70.01,0,0,0,0,0,0,0,-1,-1.854,-1.079,0,81.48,25.95,-20.11,27.1,-31.31,38.66,0,0,0,0,-0.02,1.89,0.64,0.04,61.34,70.01,-4.08,0,0.97,0,0,-1.544,-1.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.001927894,0.001010535,0.18616,0.98
DRZGWYSYISNN,102.08,0,0,0,0,0,0,2,-1,-4.246,-4.485,-0.131,106.47,22.02,7.8,15.02,7.58,13.45,0,0.51,0.05,0,0,0.06,0,0,89.56,102.08,-3.11,0,0.88,0,0,-5.025,-5.809,-0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0.17,0.001749017,0.005198351,0.88635,1.17
ESY8GPS2ITNN,84.93,0,0,0,0,0,0,0,-1,-4.773,-5.33,0,97.83,23.35,-9.25,12.78,-9.45,9.62,0,0,0,0,0,0.3,0,0,81.17,84.93,-3.45,0,0.55,0,0,-5.601,-6.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.001093136,0.002455485,0.41976,1.48
VMIWDE0JUINN,52.02,0,0,0,0,0,0,0,-1,-1.992,-1.437,0,73.54,23.71,-4.85,10.2,-4.16,5.11,0,0,0,0,0,0,0,0,54.01,52.02,-3.82,0,0.55,0,0,-1.954,-2.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.001093136,0.0029867,0.54036,1.05
