mu_self,h_hb,h_int,e_dielec,area,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,volume,avratio,hbacc_m1,hbacc_m2,hbacc_m3,hbacc_m4,hbdon_m1,hbdon_m2,hbdon_m3,hbdon_m4,molweight,ringbonds,alkylatoms,alkylgroups,rotatable_bonds,internal_hbonds,conjugated_bonds,rotbsdmod,tmult,nbr11,rbwring,fragments,zwitterion_in_water,n_exp
-5.65938,-0.00342,-6.39452,-3.3154,133.8223,22.5245,1.6114,6.9206,0.9693,2.5482,117.078,1.14301833,0,0,0,0,0,0,0,0,90.55,0,1,1,1,0,1,1,0,0,0,1,0,1.4351
-7.384,0,-8.95997,-3.8909,186.0492,26.5928,-4.2274,6.5503,-2.0738,2.0305,186.5705,0.99720588,0,0,0,0,0,0,0,0,162.62,11,0,0,0,0,11,0,0,0,0,0,0,1.6332
-6.07162,0,-6.58749,-2.5068,133.4091,15.8842,2.5449,4.1227,1.3501,1.3895,122.9423,1.08513587,0,0,0,0,0,0,0,0,92.57,0,4,1,1,0,0,0.75,0,0,0,0,0,1.396
-6.13541,0,-6.59421,-1.9708,129.584,14.3768,-0.1287,2.9972,-0.0657,0.8104,117.7513,1.10048891,0,0,0,0,0,0,0,0,90.55,0,2,1,1,0,1,0.75,0,0,0,0,0,1.4205
-6.68726,-0.15249,-8.61814,-5.0374,169.8667,40.1877,6.2551,19.7485,9.9042,16.5432,155.8112,1.09020853,0.0061,0.7404,0.1871,0.0125,0,0,0,0,143.01,0,0,0,4,0,0,4,0.64,2,0,0,0,1.456
-7.98749,-0.19501,-11.75195,-9.2652,250.8367,60.3256,10.5168,26.0047,8.8886,14.814,230.7544,1.08702889,0.0008,0.2915,0.0045,0,0,0.0002,0,0,195.09,0,0,0,6,0,2,6,0.66,0,0,4,0,1.438
-5.40284,-0.68778,-7.66357,-8.1156,187.7552,57.651,35.6757,56.0123,58.2419,76.1342,171.8409,1.09261066,0.04,4.2999,1.3304,0.1925,0,0,0,0,132.16,0,3,2,5,0,1,4.75,0,2,0,0,0,1.4055
-6.88161,-0.25371,-9.17557,-6.9287,233.2574,53.5113,47.3505,70.3215,95.2407,137.6297,222.0067,1.0506773,0.0597,6.1397,2.9007,1.0418,0,0,0,0,162.23,0,4,2,8,0,0,8,0.66,6,0,3,0,1.412
-6.30344,-4.57332,-11.027,-4.7987,144.9591,36.5756,9.6269,55.2215,19.6704,108.3591,132.5428,1.09367766,0.0317,3.2039,1.62,0.5417,-0.0184,1.8736,0.9037,0.3168,88.15,0,5,1,3,0,0,2.5,0,0,0,0,0,1.406
-5.60109,-0.00069,-6.25853,-3.2141,131.2797,22.0913,1.43,6.3504,0.8378,2.1458,118.0645,1.11193204,0,0,0,0,0,0,0,0,90.55,0,1,1,1,0,1,0.75,0,0,0,0,0,1.415
-6.19452,-0.17041,-7.27387,-4.0714,172.3528,33.4189,26.6916,39.2013,50.0052,68.538,166.5276,1.03498039,0.0347,3.5648,1.5646,0.4113,0,0,0,0,118.17,0,5,3,4,0,0,3.5,0.59,0,0,0,0,1.3819
-2.68363,-0.52171,-3.25578,-5.9232,83.2137,34.4677,19.2683,32.8389,32.1531,42.417,63.5164,1.31011361,0.0218,2.3917,0.6861,0.0869,0,0,0,0,44.05,0,1,1,0,0,1,0,0,0,0,0,0,1.3316
-4.12869,-0.12299,-4.88704,-5.0699,102.6666,29.6915,3.9581,18.0585,5.9418,13.8273,85.3586,1.20276809,0.0019,0.4035,0.016,0,0,0.0183,0,0,78.5,0,1,1,0,0,1,0,0,0,0,0,0,1.3898
-4.87095,-5.32365,-9.63073,-5.5291,103.6131,45.7957,5.8362,66.5827,4.9422,130.8697,86.1976,1.20204159,0.0317,3.2376,1.5532,0.4675,-0.0261,2.628,1.4577,0.6128,58.08,0,0,0,2,0,1,2,0,0,0,0,0,1.4135
-5.38408,-0.05603,-6.24867,-3.8629,116.7641,26.2369,1.1105,10.1028,0.4553,4.7266,103.1274,1.13223159,0,0.0179,0,0,0,0,0,0,120.98,0,0,0,1,0,1,1,0,0,0,2,0,1.4655
-3.97694,-1.46011,-6.20858,-7.3976,136.3913,51.0061,-4.4095,44.2802,-7.4301,55.7936,125.0831,1.0904055,0.01,1.0452,0.4489,0.1199,-0.0165,1.8511,0.4509,0.0286,93.13,6,0,0,1,0,6,0.75,0.5,0,0,0,0,1.5863
-4.80054,-0.488,-6.42709,-6.6388,146.077,40.3797,14.2676,30.377,25.0494,34.4773,136.2693,1.07197292,0.017,1.93,0.4588,0.0364,0,0,0,0,106.12,6,0,0,1,0,7,0.75,0.46,0,0,0,0,1.5456
-5.13495,-0.00872,-5.34067,-3.6836,121.1802,22.3191,-10.2196,8.0256,-4.2696,3.496,110.1545,1.10009305,0.0001,0.0109,0.0007,0,0,0,0,0,78.11,6,0,0,0,0,6,0,1.79,0,0,2,0,1.5011
-4.44818,-0.62986,-5.95215,-7.5313,147.1883,41.1263,9.3434,29.126,17.6369,29.6534,135.2418,1.08833438,0.0129,1.4268,0.3569,0.0279,0,0.0044,0,0,103.12,6,0,0,0,0,7,0,0.46,0,0,0,0,1.5289
-5.5904,-0.70558,-8.32291,-8.3269,198.2559,58.9316,23.244,45.245,39.8087,54.8396,189.4892,1.04626491,0.0284,3.0248,0.8875,0.1133,0,0,0,0,150.18,6,1,1,3,0,7,2.5,0.37,0,0,0,0,1.5232
-5.69293,-4.32642,-10.57615,-6.4456,150.527,51.6174,2.1412,61.7976,-4.4573,116.3224,141.5705,1.0632653,0.0258,2.6419,1.1808,0.3076,-0.0258,2.5973,1.4532,0.615,108.14,6,0,0,2,0,6,1.75,0.46,0,0,0,0,1.5404
-6.54353,-0.22439,-8.17562,-5.1608,192.7626,35.8482,16.724,28.2419,32.4077,47.2949,185.3489,1.03999862,0.0209,2.119,1.0546,0.3555,0,0,0,0,136.19,6,2,1,3,0,6,2.75,0.39,1,0,0,0,1.4955
-4.83142,-2.52748,-7.88867,-6.2926,154.7932,50.5427,22.0004,64.5312,79.9913,164.9892,146.7449,1.05484552,0.0377,3.7998,2.5891,1.5719,-0.001,0.3142,0.0086,0,107.15,6,0,0,2,0,6,1.75,0.46,0,0,0,0,1.5401
-6.7804,0,-8.04382,-3.3046,146.8539,23.6164,-3.5811,6.2803,-1.953,2.0616,138.1151,1.06327187,0,0,0,0,0,0,0,0,157.01,6,0,0,0,0,6,0,0.5,0,0,0,0,1.5602
-3.94407,-0.30671,-4.70155,-5.5953,121.3062,32.8251,19.293,30.0604,30.9374,39.5589,105.5329,1.14946334,0.0208,2.2609,0.6559,0.0849,0,0,0,0,72.11,0,3,1,2,0,1,2,0,0,0,0,0,1.379
-3.14106,-0.65425,-4.0707,-7.5606,122.4539,38.5316,16.9945,32.2857,27.0413,38.2906,104.5198,1.17158567,0.0173,1.9661,0.5776,0.0738,0,0.0013,0,0,69.11,0,3,1,1,0,1,1,0,0,0,0,0,1.3839
-5.5727,-0.05412,-6.54689,-4.1906,139.0363,26.9502,4.3933,15.1597,5.2896,11.2927,126.5912,1.09830936,0.0013,0.2881,0.0088,0,0,0.0083,0,0,106.55,0,3,1,2,0,1,1.75,0,0,0,2,0,1.412
-8.26152,0,-9.47625,-0.7624,132.3954,6.7603,-1.6848,1.0483,-0.4797,0.2582,122.3586,1.08202774,0,0,0,0,0,0,0,0,153.82,0,0,0,0,0,0,0,1.28,0,0,0,0,1.4607
